Kreis;Beschaeftigte;Beschaeftigte-Baugewerbe;Anteil-Baugewerbe;Anteil-Hochschulabschluss;Einkommen-Median;Universitaeten-Mittel;Patente
9174;31250;2135;0.06832;0.115136;2667;0;54.6171
9175;32147;1661;0.051668896;0.1270725107;2771;0;64.776
9176;30105;2436;0.0809167912;0.1050656037;2627;21051.5;42.5051
9177;29631;2347;0.0792075866;0.0697242753;2547;3958;37.7202
9178;74698;2875;0.0384883129;0.1414763447;2970;12364;65.3231
9179;40294;3790;0.0940586688;0.1449347297;2786;462.86;85.2585
9180;25444;1490;0.0585599748;0.080018865;2382;0;10.755
9181;30032;1965;0.0654302078;0.109283431;2753;0;50.8464
9182;28499;1980;0.069476122;0.1186006527;2609;0;40.3571
9183;32290;2565;0.079436358;0.0689996903;2639;0;22.7317
9184;174946;7507;0.0429103838;0.2803493649;3674;44046;271.749
9185;27411;3485;0.1271387399;0.08047864;2663;0;14.1333
9186;31761;2379;0.0749031831;0.1301596297;2865;0;18.0628
9187;66032;4832;0.0731766416;0.0835201115;2546;462.86;89.485
9188;39212;2172;0.0553912068;0.1991227175;3020;925.71;89.8778
9189;55315;4576;0.0827262045;0.0897224984;2681;0;85.5026
9190;40658;2699;0.0663829997;0.1125239805;2928;0;60.9353
9261;32060;844;0.0263256394;0.0999064255;2661;2647;18.0714
9262;33551;2061;0.0614288695;0.1205031147;2785;33017;6.53333
9263;26190;854;0.0326078656;0.0753722795;2508;0;11.275
9271;42043;6502;0.1546511904;0.0736626787;2566;14535;10.775
9272;20228;2627;0.1298694878;0.0537868301;2287;0;5.25
9273;32882;3149;0.0957666809;0.0686089654;2669;0;22.5234
9274;38539;3750;0.0973040297;0.073509951;2633;0;22.7045
9275;49296;4526;0.0918127231;0.0535540409;2342;0;7.04286
9276;22619;2440;0.1078739113;0.0453158849;2367;0;2.91667
9277;33542;5363;0.1598890943;0.0578975613;2373;0;9.77692
9278;19882;2511;0.1262951413;0.0488381451;2501;0;26.4694
9279;42412;2257;0.0532160709;0.0427473357;3437;0;7.09722
9361;23320;994;0.0426243568;0.0987993139;2901;6830;11.6667
9362;99251;2924;0.0294606603;0.1695801554;3136;369231;112.614
9363;24608;944;0.0383615085;0.0659135241;2417;1842;4.08333
9371;24241;2368;0.097685739;0.0539994225;2644;462.86;27.8611
9372;43925;5276;0.1201138304;0.0503357997;2369;0;26.5722
9373;40001;5793;0.1448213795;0.0719232019;2675;0;22.6833
9374;25600;1921;0.0750390625;0.0497265625;2522;0;10.5
9375;36481;3435;0.0941586031;0.0680902388;2585;0;116.065
9376;46740;2772;0.0593068036;0.0476465554;2504;0;25.15
9377;20783;2458;0.1182697397;0.0546600587;2533;0;10.4833
9461;48354;1657;0.0342681061;0.1157091451;2875;38036;15.5583
9462;41350;1870;0.0452237001;0.1144135429;2653;87987;14.9643
9463;30587;671;0.0219374244;0.1103409945;2895;6865;8.55595
9464;23328;745;0.0319358711;0.0761316872;2257;7718.86;6.61667
9471;30061;3263;0.1085459566;0.0560859586;2454;0;29.696
9472;21359;2213;0.1036097196;0.0534201039;2389;0;13.4095
9473;26601;1662;0.0624788542;0.0466899741;2255;0;17.0429
9474;24187;1847;0.0763633357;0.0933972795;2558;0;59.6635
9475;32033;2314;0.0722380046;0.0693347485;2288;0;17.9131
9476;24444;1373;0.0561692031;0.0593192604;2306;0;7.58333
9477;25416;2151;0.084631728;0.0644475921;2501;0;14.3595
9478;26016;1584;0.0608856089;0.0528905289;2215;0;9.05952
9479;26320;1121;0.0425911854;0.060600304;2459;0;8.95952
9561;24547;498;0.0202876115;0.0788283701;2659;6309;8.43333
9562;82656;1636;0.0197928765;0.3142058653;3904;212910;155.311
9563;39102;1567;0.0400746765;0.1252621349;2754;0;41.1752
9564;266187;7643;0.0287128973;0.161604436;2971;57283;174.596
9565;13233;707;0.0534270385;0.076248772;2501;0;8.85238
9571;52269;5071;0.0970173525;0.044921464;2453;8017;56.8944
9572;39627;1638;0.0413354531;0.1392737275;2958;0;169.537
9573;20718;1640;0.0791582199;0.068925572;2394;0;43.7746
9574;46429;2422;0.0521656723;0.0881776476;2640;0;63.8306
9575;27132;2061;0.0759619637;0.0494987469;2358;0;32.3111
9576;30868;2980;0.0965401063;0.0575353116;2519;0;30.9833
9577;28045;1662;0.0592619005;0.0535211268;2550;0;12.3964
9661;44642;1713;0.0383719367;0.098853098;2729;7100;32.5635
9662;51725;1638;0.0316674722;0.1022522958;3282;9034;23.8981
9663;78377;2000;0.0255176901;0.143128724;2800;627959;48.2519
9671;45314;3955;0.0872798694;0.0965043916;2694;0;73.6734
9672;30490;3572;0.117153165;0.0558543785;2436;0;19.1944
9673;27952;1980;0.0708357184;0.0760947338;2574;0;12.3206
9674;23430;1667;0.0711481007;0.0556978233;2614;0;14.4944
9675;26969;1450;0.0537654344;0.0799807186;2524;0;34.3333
9676;36208;2478;0.0684379143;0.0625828546;2629;0;29.9639
9677;42513;2718;0.0639333851;0.0987933103;2935;0;39.2
9678;20585;1783;0.0866164683;0.054505708;2307;0;42.0505
9679;33043;2595;0.0785340314;0.084859123;2464;0;36.4015
9761;125605;3755;0.0298953067;0.1503443334;2976;86566;41.6369
9762;15220;779;0.0511826544;0.100065703;2556;0;4
9763;34044;781;0.0229409;0.1007813418;2685;9371;9.06667
9764;26447;1886;0.0713124362;0.0782319356;2714;0;19.15
9771;29517;3187;0.1079716773;0.0711454416;2521;0;21.5917
9772;57447;4098;0.0713353178;0.0768882622;2596;0;60.7413
9773;27660;2203;0.0796456978;0.0587852495;2632;0;25.3
9774;43965;3559;0.0809507563;0.081428409;2694;0;22.9095
9775;53608;2463;0.0459446351;0.09582525;2976;5508;73.4341
9776;26146;1532;0.0585940488;0.1217777098;2780;0;36.519
9777;38541;4396;0.1140603513;0.0717417815;2691;0;36.4083
9778;40291;5451;0.1352907597;0.0749298851;2680;0;26.8845
9779;51959;3014;0.058007275;0.0796974538;2745;0;39.1583
9780;41144;3417;0.0830497764;0.0755638732;2495;0;31.4262
10041;141225;6095;0.0431580811;0.1427580103;2855;142965;47.4972
10042;27703;2056;0.0742157889;0.0757318702;2546;0;12.3468
10043;34590;3299;0.0953743857;0.0888985256;2628;0;11.5944
10044;68047;3419;0.0502446838;0.0658221523;2746;0;20.1667
10045;59808;2964;0.0495585875;0.1069756554;2967;244599;24.8508
10046;22816;1643;0.0720108696;0.0858169705;2574;0;27.0913
11000;1127478;50133;0.0444647257;0.1982965521;2555;2064890;624.562
12051;27291;1533;0.0561723645;0.1159722986;2200;8655;4.4
12052;47373;1719;0.0362864923;0.1774006291;2266;58107;2.66667
12053;29106;1290;0.0443207586;0.1560846561;2318;15901;2.1
12054;73769;2341;0.0317341973;0.2281852811;2427;123917;33.0357
12060;44439;3987;0.0897184905;0.1128288215;1977;7807;22.2429
12061;52161;4371;0.0837982401;0.1079733901;2000;16401;24.7262
12062;30792;3073;0.099798649;0.0914523253;1730;0;11.3667
12063;37183;3115;0.0837748433;0.0925960789;1885;856;33.6934
12064;43808;4740;0.1081994156;0.1104821037;1917;0;13.8061
12065;49833;4702;0.0943551462;0.1232516605;1995;19419;27.7597
12066;36213;3320;0.0916797835;0.1236848646;2004;12635;4.86111
12067;50715;5331;0.1051168293;0.1225081337;1993;0;5.72619
12068;32845;3178;0.0967574973;0.0993758563;1842;0;3.86667
12069;53867;6295;0.1168619006;0.1170289788;2016;0;42.8168
12070;26841;2435;0.0907194218;0.0973883238;1839;0;3.33333
12071;36072;3688;0.1022399645;0.0883233533;2107;0;0
